lon,lat
-124.81242,49.23513
-124.81118,49.25705
-124.81023,49.23621
-124.8064,49.23371
-124.42173,48.5535
-124.41331,43.11913
-124.41233,43.11914
-124.41223,43.11975
-124.41147,43.11917
-124.27467,48.25379
-124.265,42.04782
-124.2249,43.40701
-124.22423,43.40561
-124.20319,47.20874
-124.19928,49.26772
-124.17416,47.11408
-124.17009,40.80412
-124.16717,40.80397
-124.16401,40.78154
-124.16287,47.01534
-124.16217,47.00935
-124.16169,47.01471
-124.15095,46.95045
-124.10113,40.49307
-124.09136,40.86978
-124.08953,40.86552
-124.08724,40.87015
-124.06151,46.34554
-124.0612,44.63899
-124.0605,44.63822
-124.05729,44.63308
-124.05505,46.33493
-124.05458,46.33315
-124.05074,49.22317
-124.05019,46.4913
-124.04345,44.60384
-124.0392,41.53074
-123.99383,49.18673
-123.99252,40.87892
-123.99132,49.19222
-123.98705,49.16888
-123.9714,46.91545
-123.96169,45.88905
-123.96117,45.89694
-123.96052,45.89843
-123.94619,49.16508
-123.94571,45.60494
-123.94463,45.61168
-123.94436,45.61252
-123.94394,45.61163
-123.94344,45.61484
-123.94328,45.61579
-123.94262,49.16533
-123.93971,49.17007
-123.93787,49.16688
-123.93744,45.7184
-123.93707,49.16644
-123.93702,49.16606
-123.93696,49.16832
-123.93563,49.16357
-123.93523,45.71877
-123.9352,49.16316
-123.93493,49.16289
-123.93241,46.12259
-123.93134,49.14195
-123.92852,45.99372
-123.92825,45.99293
-123.92794,45.99308
-123.92676,45.99305
-123.92585,45.99344
-123.92562,45.97147
-123.92544,45.99326
-123.9246,45.99326
-123.92324,45.99342
-123.92258,46.03488
-123.92215,45.99295
-123.92185,45.99324
-123.92173,45.99323
-123.92105,46.02401
-123.91641,46.00122
-123.91118,46.01211
-123.88991,45.52472
-123.8779,49.11533
-123.87627,46.97674
-123.85242,46.97533
-123.84933,46.189
-123.84342,45.45658
-123.83517,46.1907
-123.83342,46.18851
-123.83194,46.19077
-123.83159,46.18984
-123.83154,46.19026
-123.83048,46.97379
-123.8288,46.18886
-123.82819,46.18835
-123.82746,46.18841
-123.82031,40.11764
-123.81926,48.99424
-123.81752,46.97429
-123.81751,48.99317
-123.81364,48.98943
-123.80642,39.44412
-123.80064,39.30488
-123.80032,39.30491
-123.8,45.42054
-123.79975,39.30569
-123.79852,39.30698
-123.78358,39.59199
-123.72812,48.92643
-123.72345,48.37799
-123.71411,46.89054
-123.70946,39.11759
-123.70846,48.77726
-123.70781,48.77918
-123.69254,48.76452
-123.69032,48.76283
-123.67859,48.38971
-123.67004,48.97745
-123.64678,42.1658
-123.62777,48.66012
-123.60955,48.81714
-123.55364,48.45909
-123.55265,46.56004
-123.53194,48.47699
-123.5222,48.43295
-123.50844,40.45249
-123.50076,48.8592
-123.49884,48.85145
-123.49878,48.85394
-123.48809,48.43536
-123.48253,39.68686
-123.46963,48.44545
-123.43382,48.12052
-123.43378,48.45221
-123.43255,48.11759
-123.4314,48.11917
-123.43139,48.1189
-123.43128,48.11901
-123.43067,48.64088
-123.42914,38.68041
-123.42669,48.65579
-123.42285,48.11486
-123.41717,48.43043
-123.41447,48.42997
-123.4121,43.12342
-123.412,40.35281
-123.4061,48.64949
-123.40144,48.43047
-123.39759,48.64988
-123.39759,48.65003
-123.38767,48.48588
-123.38513,48.42902
-123.38238,48.44277
-123.37586,48.45444
-123.37544,48.43521
-123.37495,48.42679
-123.36977,48.42673
-123.36965,44.53997
-123.36949,48.41526
-123.36948,48.42865
-123.36948,48.43198
-123.3694,48.42809
-123.36935,48.4303
-123.36913,48.42838
-123.36853,48.42811
-123.368,48.42162
-123.368,48.4301
-123.36793,48.42548
-123.36791,48.42682
-123.36783,48.42184
-123.36752,48.42126
-123.36749,39.00952
-123.36652,48.42591
-123.36551,48.42307
-123.36547,48.42333
-123.36545,48.42341
-123.36541,48.43035
-123.3654,48.42181
-123.36536,48.42177
-123.36534,48.42305
-123.36519,48.42303
-123.3649,48.43153
-123.36429,48.42248
-123.36419,48.42605
-123.36385,48.42871
-123.36338,48.4272
-123.36296,48.4251
-123.36284,48.42509
-123.3622,48.42371
-123.36201,48.46631
-123.3611,48.42429
-123.3576,48.42579
-123.35641,48.4142
-123.35435,39.41364
-123.35431,39.40978
-123.34838,43.20655
-123.34809,43.20628
-123.34568,48.89092
-123.34505,48.43055
-123.3446,43.20847
-123.34307,43.21005
-123.34302,43.21016
-123.3328,48.45074
-123.33099,42.43275
-123.32797,42.43849
-123.31643,44.91984
-123.31503,48.42665
-123.31488,48.42661
-123.31237,47.13449
-123.30794,48.46459
-123.30732,48.46609
-123.30042,48.85152
-123.29901,48.42021
-123.2979,46.57113
-123.28909,48.84854
-123.28145,44.57478
-123.27844,46.58825
-123.27583,44.45458
-123.27463,44.57725
-123.27329,44.56767
-123.27266,44.56747
-123.2666,45.64009
-123.26521,44.54748
-123.26351,44.56355
-123.26319,44.56178
-123.26244,44.56783
-123.26092,44.56289
-123.26088,44.56123
-123.26016,44.56402
-123.25996,44.56348
-123.25937,44.5634
-123.2589,44.56405
-123.25885,44.56415
-123.25809,49.26849
-123.25507,44.58658
-123.25017,49.26658
-123.23697,44.84844
-123.23456,44.84875
-123.22621,44.56349
-123.20808,39.14897
-123.2078,39.14987
-123.20551,39.15055
-123.20474,44.2105
-123.2034,46.10431
-123.20321,46.10446
-123.20242,39.2332
-123.20144,48.79778
-123.19709,45.21688
-123.19697,45.20989
-123.19651,45.20991
-123.1947,45.21086
-123.19428,45.21015
-123.19266,45.2098
-123.19041,45.20846
-123.18471,44.85242
-123.18421,49.26448
-123.18394,49.1243
-123.18359,49.12377
-123.18306,49.19553
-123.18218,49.19476
-123.18194,49.19274
-123.18182,49.19441
-123.1817,49.19275
-123.1813,49.26415
-123.18095,49.12417
-123.18073,40.55383
-123.18023,49.19223
-123.17994,49.19506
-123.17801,49.19639
-123.17583,49.19713
-123.17488,49.1974
-123.1747,49.26404
-123.17407,49.19775
-123.17257,49.26423
-123.16924,49.134
-123.16847,42.25674
-123.16828,49.17729
-123.16792,44.05423
-123.15677,49.26404
-123.15541,49.27159
-123.1554,49.27235
-123.15524,49.27095
-123.14539,49.2653
-123.14264,49.28858
-123.1418,49.28707
-123.14153,49.28727
-123.14136,49.26869
-123.14134,49.2874
-123.14108,49.28695
-123.14023,49.20963
-123.13968,49.26635
-123.13893,49.25921
-123.13807,49.26158
-123.1374,49.14012
-123.13701,49.18121
-123.13567,49.27055
-123.1352,49.17276
-123.13458,49.27041
-123.13456,49.28233
-123.13377,49.28226
-123.1329,49.2816
-123.13274,49.2815
-123.13243,49.27577
-123.13235,49.28073
-123.13201,49.19274
-123.13184,49.17893
-123.13175,49.29027
-123.13153,44.10268
-123.13116,44.10405
-123.13054,49.17772
-123.1304,49.2797
-123.12973,49.27965
-123.1296,44.10084
-123.12958,49.28746
-123.12911,49.28757
-123.12793,49.19358
-123.12755,49.19618
-123.1275,49.28666
-123.12687,49.27691
-123.12616,49.27695
-123.12568,49.27767
-123.12506,49.28024
-123.12476,44.05262
-123.12439,49.28692
-123.12419,49.27829
-123.12412,49.28222
-123.12411,49.27413
-123.12359,49.27943
-123.123,49.27907
-123.12269,49.27968
-123.12253,49.27978
-123.12144,49.2801
-123.1213,49.28977
-123.12102,49.27544
-123.12053,49.28634
-123.12044,49.27952
-123.12034,49.2852
-123.12022,49.27938
-123.11982,49.28115
-123.11967,49.28002
-123.11957,49.27609
-123.11952,49.27334
-123.11888,49.2835
-123.11864,49.26871
-123.11849,49.28515
-123.11689,49.2898
-123.11656,49.28557
-123.11625,49.20946
-123.11512,49.28294
-123.11502,38.44908
-123.11494,49.28016
-123.11484,49.28694
-123.11438,49.28384
-123.11411,49.27789
-123.11411,49.28402
-123.11386,49.28384
-123.11308,49.27977
-123.11307,49.27969
-123.11279,49.27876
-123.11264,45.52084
-123.11241,45.51982
-123.11237,49.2832
-123.11191,45.51937
-123.1119,45.51986
-123.11114,49.28241
-123.11099,49.28487
-123.11052,49.27472
-123.11047,44.05719
-123.10978,44.05698
-123.10975,49.28027
-123.1097,49.27799
-123.10933,49.27753
-123.10926,49.28281
-123.10905,49.28319
-123.10878,44.0553
-123.10851,49.28461
-123.10838,49.28413
-123.10772,49.28127
-123.10754,44.054
-123.10685,49.28021
