lon,lat
-125.03977,49.02033
-125.03377,49.01671
-124.81422,49.23361
-124.81371,49.23225
-124.8131,49.23221
-124.81204,49.23657
-124.79367,49.15246
-124.66825,48.15258
-124.66324,48.10998
-124.63671,47.91157
-124.6357,47.91195
-124.62504,48.1255
-124.61965,47.92128
-124.61131,48.36745
-124.59768,48.12034
-124.54642,48.35343
-124.5463,48.35335
-124.54184,47.9146
-124.53736,42.84465
-124.50886,42.74808
-124.45852,48.91897
-124.45706,42.99674
-124.45207,43.011
-124.42464,43.06345
-124.41534,48.55628
-124.41416,48.55582
-124.41005,42.43052
-124.40961,48.58592
-124.40707,48.58415
-124.40102,43.14771
-124.38342,48.0224
-124.34451,48.06013
-124.32459,43.34575
-124.32403,43.34659
-124.30265,40.6201
-124.29907,48.26511
-124.29889,48.26511
-124.29874,48.2651
-124.2952,42.50333
-124.29223,47.34805
-124.28823,48.89752
-124.28413,48.25799
-124.28023,43.39328
-124.26928,42.05204
-124.2691,42.05207
-124.26891,42.05064
-124.26835,42.04762
-124.26587,42.04529
-124.2501,47.81212
-124.23005,42.49948
-124.22839,41.78387
-124.22529,48.60711
-124.21681,43.53047
-124.20641,43.32575
-124.20622,41.84218
-124.2059,43.36346
-124.20489,43.5707
-124.20306,47.55202
-124.19896,43.17462
-124.19162,43.17342
-124.18285,41.74596
-124.18059,41.81356
-124.1778,40.80283
-124.17624,49.09607
-124.17025,43.57271
-124.1629,40.80817
-124.1487,41.89061
-124.14748,46.99731
-124.14626,43.79977
-124.14219,40.8054
-124.14162,46.97048
-124.1402,46.94758
-124.13682,49.09348
-124.13071,41.16396
-124.13049,46.94895
-124.12983,40.92894
-124.12137,47.81215
-124.1138,43.88472
-124.10919,43.93065
-124.1057,46.90443
-124.10447,43.71284
-124.10018,48.19919
-124.09785,43.92766
-124.09708,44.05365
-124.095,43.38013
-124.08107,43.36295
-124.07072,41.54538
-124.07067,44.00395
-124.06966,44.52042
-124.06751,48.81823
-124.06693,49.09289
-124.06634,40.02414
-124.06324,48.18638
-124.06238,48.82441
-124.06173,49.22903
