lon,lat
-124.81059,49.49061
-124.80649,49.24439
-124.45504,49.354
-124.20157,41.75555
-124.16376,47.00698
-124.16276,47.01446
-124.12601,43.69528
-124.08199,40.9025
-124.00934,44.98045
-124.00508,49.20613
-123.67989,47.01732
-123.60101,46.97897
-123.5986,46.97867
-123.43009,48.65558
-123.42965,48.42843
-123.42871,48.42695
-123.42202,48.43619
-123.37576,48.44145
-123.36358,39.00384
-123.36354,39.0038
-123.36167,48.42411
-123.34505,43.20717
-123.32615,43.21387
-123.2797,44.56483
-123.20713,39.15086
-123.18546,49.26449
-123.18292,49.12548
-123.16593,42.43275
-123.15109,49.26607
-123.13714,49.26468
-123.13258,49.28722
-123.12225,49.28064
-123.12044,49.28079
-123.1158,49.28691
-123.11247,48.0739
-123.1015,49.26215
-123.10131,49.26168
-123.09936,49.28156
-123.09429,49.27223
-123.0919,49.28135
-123.09039,49.24966
-123.08581,49.04169
-123.07992,44.06369
-123.07209,49.3203
-123.06999,49.26526
-123.06991,49.03667
-123.06493,49.13454
-123.06411,43.7972
-123.0621,43.7975
-123.06082,43.79848
-123.02702,49.27241
-123.02269,44.04639
-123.02118,44.04628
-123.01551,44.04854
-123.00724,49.28082
-122.99382,49.22184
-122.98796,49.22371
-122.98364,49.26373
-122.97093,46.66573
-122.97086,46.66547
-122.95908,46.69888
-122.95715,46.65642
-122.95286,46.65282
-122.94028,49.22431
-122.92947,40.72167
-122.91834,46.14492
-122.91329,49.20728
-122.90985,44.90055
-122.90917,46.27494
-122.90906,46.99669
-122.90877,44.52352
-122.90634,49.2038
-122.90451,46.13992
-122.85951,47.04591
-122.85577,49.27757
-122.8534,46.85705
-122.85339,49.23663
-122.84809,45.13327
-122.84484,49.19475
-122.83087,45.85074
-122.82439,38.40321
-122.80942,45.50025
-122.7804,49.26418
-122.74789,45.90119
-122.71908,45.58051
-122.70588,45.47568
-122.68986,49.22932
-122.68092,47.56983
-122.67622,45.5181
-122.66849,45.63464
-122.66072,49.10407
-122.65864,48.93018
-122.65256,49.10543
-122.64808,48.31985
-122.64196,41.71614
-122.62763,47.53391
-122.61347,48.51647
-122.60994,47.34668
-122.59251,49.21887
-122.52404,48.78996
-122.50741,37.96405
-122.50083,48.39325
-122.48812,48.7926
-122.48772,47.27093
-122.48687,48.74213
-122.48468,37.74278
-122.47753,37.72685
-122.47224,48.7267
-122.4701,37.74314
-122.46405,47.27497
-122.46237,37.76409
-122.45054,47.24564
-122.44522,47.25721
-122.4295,37.46316
-122.42543,37.7715
-122.42537,37.77123
-122.42215,37.76548
-122.42214,37.76539
-122.42213,37.76533
-122.42187,37.76625
-122.42121,37.75934
-122.41884,37.75422
-122.41203,37.74931
-122.40946,37.78838
-122.40917,37.75062
-122.40818,47.67513
-122.40683,37.79373
-122.40565,37.79427
-122.40556,37.79429
-122.39861,47.66843
-122.39344,47.66882
-122.39232,37.77818
-122.3885,37.76335
-122.38656,47.56383
-122.38447,41.42323
-122.35893,47.24333
-122.35099,47.64742
-122.34205,47.62235
-122.3394,48.40828
-122.33656,48.43926
-122.33119,47.66408
-122.31468,48.4362
-122.31243,48.11282
-122.304,49.13403
-122.30164,37.53916
-122.28765,37.99752
-122.28384,38.32021
-122.27172,37.84893
-122.27025,37.55716
-122.25351,47.45998
-122.25021,47.84851
-122.24052,47.49094
-122.2261,37.48586
-122.22553,47.30722
-122.21296,47.30165
-122.2057,47.7598
-122.19394,39.92739
-122.18363,37.78064
-122.17682,37.76877
-122.17075,37.42522
-122.0739,37.68617
-122.06687,37.98253
-122.05252,37.28418
-122.04041,37.33628
-122.04019,47.529
-122.03739,47.5299
-122.0367,47.53219
-122.00532,47.31825
-122.00411,47.30984
-121.98249,37.55374
-121.982,37.55027
-121.96209,37.36923
-121.95058,37.52854
-121.92936,37.26029
-121.92335,37.42703
-121.91994,37.33016
-121.88033,37.33645
-121.87742,37.41875
-121.85209,37.31461
-121.84294,39.72431
-121.82565,47.52949
-121.81347,37.32488
-121.81159,38.01381
-121.80701,39.76046
-121.79934,38.69243
-121.79171,38.67818
-121.78642,47.49506
-121.63876,37.11296
-121.63832,37.11312
-121.60537,48.25908
-121.54659,44.29233
-121.54659,44.29234
-121.53956,44.28611
-121.46443,38.42755
-121.45518,38.52534
-121.38202,38.61256
-121.38136,38.61263
-121.35238,38.65959
-121.29489,44.0912
-121.28508,38.75334
-121.28015,38.74871
-121.2703,38.77469
-121.26325,37.78492
-121.13957,37.4775
-121.0265,39.23355
-120.97478,37.69059
-120.81607,39.0207
-120.80697,38.37636
-120.66453,40.41929
-120.50756,49.45963
-120.23871,37.97358
-120.18506,39.32809
-119.81251,39.52986
-119.78064,39.47454
-119.76954,39.12503
-119.74742,39.54011
-119.4407,48.70524
-119.2774,47.14513
-119.27542,46.28872
-118.78099,39.4625
-118.61575,46.97147
-118.38079,47.12712
-118.37964,47.12819
-118.30289,46.07982
-117.39332,47.73608
-117.36489,46.88217
-117.29907,49.4907
-117.00168,46.73032
-116.98241,46.38438
-116.92724,47.72995
-116.81956,43.97071
-116.78619,47.75755
-116.78079,47.6762
-116.56757,48.27271
-116.56083,43.57775
-116.54853,48.27507
-116.4984,43.87632
-116.4,43.59207
-116.3223,48.68419
-116.2932,43.58875
-116.04251,44.51634
-115.89332,48.45789
-115.074,36.06952
-115.04099,36.05991
-114.7574,42.59399
-114.64228,32.66852
-114.63094,35.09377
-114.60325,35.10814
-114.59824,34.85807
-114.59751,35.03164
-114.59612,35.0908
-114.59498,35.08648
-114.57462,35.1505
-114.57162,35.1676
-114.4221,32.72808
-114.29528,34.1488
-114.03811,35.22829
-112.85352,42.78432
-112.74628,40.22098
-112.7324,33.96941
-112.73221,33.96927
-112.45089,42.8621
-112.44756,42.85981
-112.42953,33.35516
-112.40259,43.21532
-112.39591,33.59398
-112.35488,34.57868
-112.32716,33.6381
-112.32322,33.63731
-112.28599,33.60564
-112.10898,40.7108
-112.10873,40.71084
-112.09701,33.67506
-112.08896,38.7544
-112.07859,33.45005
-112.0749,33.44751
-112.06287,33.57442
-112.05247,34.7704
-112.02955,33.66817
-112.02949,33.66789
-112.0208,40.54983
-112.01326,41.5103
-111.9722,40.72742
-111.95453,40.69277
-111.92812,33.44362
-111.90198,40.75297
-111.89307,40.69734
-111.89002,40.73506
-111.88765,40.53238
-111.85379,40.70754
-111.85207,33.3938
-111.83904,40.38674
-111.81521,41.74477
-111.81452,41.74505
-111.81449,41.74426
-111.79229,33.32868
-111.65781,40.25002
-111.58706,39.35055
-111.55891,32.7573
-110.99453,31.87015
-110.94492,32.23535
