lon,lat
-124.80909,49.25948
-124.43874,49.34689
-124.43874,49.34708
-124.29885,49.31611
-124.10641,43.96662
-124.10184,40.48658
-124.08891,40.85672
-124.05447,44.63326
-123.99383,49.1868
-123.99252,40.87892
-123.96184,45.88869
-123.9314,49.1419
-123.84637,45.45816
-123.80485,39.45167
-123.69245,48.76457
-123.50401,48.77901
-123.50019,48.46487
-123.4746,39.08572
-123.43358,48.45233
-123.40795,48.5654
-123.39669,48.43639
-123.38521,48.42912
-123.37544,48.43521
-123.37361,48.4371
-123.36761,44.54027
-123.36138,44.53931
-123.33468,49.37948
-123.29768,44.31642
-123.28909,48.84854
-123.26908,44.53038
-123.26157,48.77531
-123.26088,44.56123
-123.25901,44.56487
-123.17556,46.19299
-123.16222,48.60311
-123.14186,49.17287
-123.14136,49.26869
-123.14107,47.40497
-123.13575,49.27062
-123.13458,49.27041
-123.13243,49.27577
-123.13132,49.26952
-123.12102,49.27544
-123.10998,49.26647
-123.10449,49.26866
-123.10327,49.26944
-123.1026,49.32331
-123.10079,47.21126
-123.09822,44.63919
-123.09543,49.28421
-123.09531,49.12336
-123.09277,49.31707
-123.08515,49.28127
-123.08157,49.20988
-123.07923,49.27025
-123.07795,49.31129
-123.07528,49.30947
-123.0734,49.30871
-123.06722,49.28418
-123.05521,44.94646
-123.0526,44.94984
-123.04085,44.94195
-123.03393,49.31007
-123.0334,49.30858
-123.03326,49.30811
-123.02724,49.13617
-123.01999,44.91606
-123.01168,44.91976
-123.01119,44.91714
-123.01084,44.91741
-123.00137,46.73521
-122.9689,49.21554
-122.9443,40.73579
-122.93399,47.0257
-122.92731,49.20213
-122.92215,49.25597
-122.90821,46.27527
-122.90662,48.69564
-122.89872,47.04308
-122.89429,42.33998
-122.88564,46.97111
-122.88501,46.97083
-122.88474,46.97062
-122.86316,38.60632
-122.86198,49.14777
-122.85326,49.27864
-122.8496,49.27855
-122.84931,49.27866
-122.84871,49.27854
-122.8484,49.27854
-122.83852,38.97774
-122.82814,45.84475
-122.8218,38.40456
-122.82127,38.40364
-122.8198,38.40389
-122.80974,49.2773
-122.80339,45.48781
-122.8025,49.02946
-122.80226,49.02837
-122.80197,49.02944
-122.79989,38.53199
-122.79965,45.06908
-122.79726,45.37098
-122.78461,38.52815
-122.7619,45.58892
-122.74457,38.47165
-122.73338,49.25308
-122.73284,49.25124
-122.72179,38.40801
-122.69896,45.5346
-122.69879,45.52944
-122.69652,45.53398
-122.68673,47.66219
-122.6859,48.21098
-122.67825,49.11858
-122.66652,49.16299
-122.66511,49.11857
-122.66445,38.27062
-122.66347,49.11626
-122.66069,48.28747
-122.65759,45.51235
-122.65373,47.57065
-122.65197,49.10507
-122.65005,47.78362
-122.64817,45.48776
-122.6467,47.73674
-122.63834,45.52237
-122.63265,49.23413
-122.59117,49.22085
-122.58998,48.84639
-122.58948,49.21997
-122.58759,47.32119
-122.58408,37.9859
-122.5811,47.32944
-122.57932,38.57697
-122.57799,38.57973
-122.56837,45.48092
-122.55942,49.14619
-122.54063,37.97433
-122.53583,38.07335
-122.52941,47.2413
-122.52903,37.97334
-122.52531,47.64829
-122.50484,37.75285
-122.50307,49.06101
-122.49227,37.64259
-122.48893,37.50407
-122.48791,37.50451
-122.48641,48.76426
-122.48512,48.75333
-122.48313,37.50444
-122.48209,48.74731
-122.4788,48.75023
-122.47756,38.29467
-122.47418,48.75426
-122.47031,47.45349
-122.46812,48.75848
-122.439,47.24257
-122.43745,47.24243
-122.43533,47.30096
-122.42214,38.24552
-122.41399,37.76013
-122.40315,37.74044
-122.40311,37.74043
-122.39709,37.77647
-122.39352,37.72292
-122.3903,47.66059
-122.39015,37.75154
-122.38844,37.76116
-122.3869,37.76874
-122.38463,47.81031
-122.38396,37.75877
-122.38371,47.65622
-122.38328,49.05637
-122.38077,49.0492
-122.37581,37.91746
-122.37456,47.63083
-122.37386,47.66732
-122.37311,45.58173
-122.3728,47.6623
-122.37119,47.66661
-122.371,47.66589
-122.36912,47.66486
-122.36646,47.66234
-122.35508,47.69182
-122.35507,47.69206
-122.34299,47.64996
-122.33973,47.60601
-122.33779,47.56044
-122.33459,47.57661
-122.33398,47.60018
-122.31672,47.61803
-122.31479,47.54766
-122.30941,37.78666
-122.29996,37.89418
-122.29985,37.87948
-122.29868,37.78323
-122.29434,47.6629
-122.29356,47.2379
-122.29144,37.85762
-122.29092,37.84715
-122.2888,37.81878
-122.28553,37.81672
-122.28486,38.29872
-122.28434,47.55604
-122.28423,37.81426
-122.28365,37.82012
-122.27814,37.79901
-122.27719,47.55075
-122.27569,46.55629
-122.27452,47.89746
-122.27416,37.79584
-122.27231,37.84876
-122.27216,37.84876
-122.27199,37.79452
-122.2715,37.79604
-122.26875,37.87342
-122.26768,37.86979
-122.26549,37.52124
-122.26485,37.81296
-122.24781,47.45393
-122.23888,37.76847
-122.22468,47.41157
-122.22015,47.91107
-122.21469,47.98089
-122.20561,47.48013
-122.18695,37.4783
-122.18657,49.05574
-122.1792,37.71478
-122.17745,37.71141
-122.15778,47.74284
-122.15609,47.73722
-122.15558,47.73695
-122.15543,47.48872
-122.15461,37.72345
-122.14466,47.68555
-122.14297,47.73467
-122.11076,37.89354
-122.09748,47.91178
-122.09673,47.92444
-122.04902,36.9596
-122.04785,36.95908
-122.03358,37.25753
-122.03048,36.98249
-122.02126,47.36499
-122.01039,47.32606
-122.00753,36.98152
-121.99171,49.118
-121.99007,47.2036
-121.98773,47.20444
-121.98554,47.74352
-121.96583,36.9857
-121.96471,36.96656
-121.95487,37.50278
-121.94954,36.98324
-121.93499,36.61529
-121.92043,36.55391
-121.8935,37.335
-121.89001,37.33508
-121.88582,37.32931
-121.87454,37.663
-121.87329,37.31725
-121.87215,37.29897
-121.87097,47.52843
-121.85788,37.31023
-121.81757,39.71469
-121.81246,37.69865
-121.79299,36.95014
-121.76621,45.30304
-121.73966,38.54458
-121.73112,38.54482
-121.72024,37.67681
-121.62987,36.64897
-121.5519,44.29117
-121.54337,38.56609
-121.52262,45.71166
-121.51797,45.71475
-121.51424,38.57466
-121.51423,45.71463
-121.51357,45.70907
-121.50113,38.56443
-121.4853,45.7273
-121.4842,38.57521
-121.4811,38.57311
-121.43346,38.56596
-121.35908,44.16028
-121.33015,44.05082
-121.29346,44.08874
-121.29245,38.89302
-121.29183,44.04604
-121.28836,44.03725
-121.28538,44.08898
-121.26632,38.59736
-121.26288,38.59797
-121.26099,38.5819
-121.25832,38.60924
-121.01425,38.88634
-120.9935,47.22338
-120.94878,39.93687
-120.69688,35.57345
-120.67051,35.24316
-120.66873,35.48979
-120.66472,35.27933
-120.66319,35.27771
-120.65567,35.28579
-120.64592,35.24409
-120.64494,35.25965
-120.64057,35.14196
-120.61405,39.78446
-120.57979,35.12303
-120.50493,46.60284
-120.45745,34.64198
-120.38318,37.9849
-120.32006,38.01186
-120.20265,34.61062
-120.01462,46.32396
-119.98619,38.92512
-119.82583,34.43474
-119.80952,39.53102
-119.8075,39.51421
-119.80219,39.5334
-119.78118,38.96266
-119.70317,34.42325
-119.69731,34.41794
-119.6907,34.4147
-119.59447,49.48297
-119.5939,49.4998
-119.55513,36.80907
-119.52523,49.2451
-119.52163,34.39523
-119.51801,34.39838
-119.29074,34.27576
-119.23851,34.27421
-119.18723,46.27662
-119.12765,34.20836
-119.06323,35.43131
-119.04356,34.21681
-119.03728,34.21648
-119.0191,34.21683
-118.98552,37.65067
-118.87066,34.28309
-118.80367,34.15404
-118.47676,34.02549
-118.41261,33.91828
-118.37462,33.96029
-118.35611,33.8659
-118.34687,34.206
-118.34189,34.02576
-118.33929,33.84315
-118.33786,33.84314
-118.33228,33.91492
-118.32404,33.84148
-118.31977,33.80305
-118.31602,33.83571
-118.31368,33.84708
-118.3115,33.84172
-118.31019,33.84658
-118.28427,33.73864
-118.27615,33.86191
-118.26192,34.13016
-118.24205,34.04601
-118.23529,34.04468
-118.23322,34.0509
-118.19044,33.7707
-118.18962,33.77018
-118.18908,33.82653
-118.17787,33.80397
-118.16637,33.82379
-118.14097,34.61593
-118.04568,33.89531
-118.00457,34.1418
-117.95273,34.0199
-117.6131,33.42744
-117.60935,33.63645
-117.60696,33.45177
-117.60562,33.44928
-117.59855,33.45322
-117.59618,33.55238
-117.44729,33.90975
-117.42584,47.67522
-117.41007,47.65367
-117.39432,47.66283
-117.39419,47.66301
-117.34335,47.68223
-117.2945,49.49162
-117.27388,33.13868
-117.27382,33.14034
-117.26495,32.95945
-117.25196,32.74722
-117.25154,33.3827
-117.25036,32.74792
-117.24948,32.74535
-117.2472,47.67497
-117.24489,32.75069
-117.2424,33.20245
-117.24188,33.20282
-117.23708,34.07065
-117.23472,33.13562
-117.22891,33.14495
-117.22746,33.14033
-117.21859,34.0615
-117.21153,32.74042
-117.20622,32.75419
-117.1993,33.09874
-117.19531,32.76675
-117.1938,33.14338
-117.19368,34.24998
-117.19255,33.14276
-117.17151,32.88396
-117.16995,46.72574
-117.16968,32.72767
-117.16875,32.72529
-117.16016,32.73535
-117.15988,32.71662
-117.15955,32.88791
-117.15724,32.71202
-117.15345,32.70955
-117.15244,32.70925
-117.15156,32.70709
-117.14964,32.88817
-117.14698,32.76839
-117.14138,32.70194
-117.13979,32.69812
-117.13927,32.83066
-117.13208,32.58072
-117.13042,32.76003
-117.13007,32.72171
-117.12988,32.75237
-117.12937,32.72979
-117.11096,32.89858
-117.11071,32.90325
-117.10759,32.76309
-117.09318,32.66481
-117.08065,32.64266
-117.08049,32.6433
-117.08031,32.64279
-117.08022,32.64159
-117.03763,32.53389
-117.03762,32.53382
-117.03755,32.53374
-117.03726,32.53234
-117.03647,32.53264
-117.03622,32.53041
-117.0362,32.53029
-117.02088,32.52232
-116.99248,32.5087
-116.99053,32.50638
-116.98077,32.50373
-116.96811,32.73042
-116.96268,32.79544
-116.77968,47.69128
-116.71282,33.74327
-116.6593,31.96789
-116.5546,48.27473
-116.5499,48.2763
-116.54939,48.27327
-116.54907,48.27692
-116.34911,43.59449
-116.29714,43.65489
-116.23629,43.62232
-116.20309,43.61184
-115.92318,47.47149
-115.16947,36.10891
-115.15434,36.15302
-115.15352,36.17658
-115.1535,36.17679
-115.07121,32.55168
-115.01853,36.05394
-114.98415,36.03405
-114.6182,32.72292
-112.46071,34.54723
-112.44923,42.86108
-112.25909,33.56186
-112.08123,33.46536
-111.99991,28.85408
-111.99667,33.43752
-111.99443,28.85283
-111.98289,28.84922
-111.96509,33.35671
-111.96249,33.3211
-111.95131,33.42936
-111.95129,33.42938
-111.92925,33.49516
-111.92303,33.82403
-111.90857,40.75438
-111.90425,40.76583
-111.90087,40.73011
-111.89557,33.42517
-111.89496,40.72249
-111.89322,40.72212
-111.89011,40.73651
-111.85756,41.74399
-111.79613,34.86634
-111.79263,33.32995
-111.7878,33.28528
-111.68565,33.27976
-111.67684,33.39242
-111.66964,33.31066
-111.65245,35.19693
-111.64965,35.19946
-111.64858,35.19644
-111.43631,38.2998
-111.03853,43.16497
-110.97802,29.09652
-110.96796,32.22131
-110.96138,29.07587
-110.94796,29.09619
-108.47379,39.03636
-108.46541,39.04098
-108.45855,39.03719
-108.43102,39.09121
-108.39014,39.10783
-108.39006,39.10397
-108.38817,39.09197
-108.38475,39.10464
-108.36542,39.10673
-108.36449,39.11764
-108.36064,39.11445
-108.36039,39.1154
-108.3268,38.96531
-108.29552,37.34702
-108.28266,37.34824
-108.14271,25.36833
-108.0567,25.07802
-108.05643,25.07865
-108.05605,25.0771
-108.05272,25.08209
-108.03625,38.60657
-107.99752,38.60608
-107.94958,38.88942
-107.93047,38.88765
-107.92879,38.90006
-107.926,38.90058
-107.92494,38.89853
-107.91513,38.91324
-107.9023,38.93049
-107.87707,38.47891
-107.86919,38.84287
-107.85289,38.84104
-107.78018,38.83707
-107.70683,24.81227
-107.41639,24.8165
-107.33713,24.80522
-107.33688,24.8051
-107.33544,24.80248
-107.33297,24.79992
-107.32502,39.54583
-107.32305,39.5476
-107.31978,39.51579
-107.22375,39.41084
-107.21311,39.40067
-107.20801,39.40033
-107.03883,39.64524
-106.98689,38.8696
-106.98681,38.86989
-106.98458,38.86683
-106.92713,38.54481
-106.85813,40.51071
-106.85298,40.49029
-106.8396,39.65289
-106.83718,40.48652
-106.83072,39.64141
-106.82864,39.65543
-106.82034,39.19026
-106.82019,39.19028
-106.77887,32.31004
-106.67494,32.04917
-106.67371,39.75041
-106.65477,35.20396
-106.65435,35.08402
-106.65345,35.12177
-106.64713,35.09253
-106.64673,35.11202
-106.64465,35.08235
-106.63612,35.16651
-106.6352,35.16633
-106.58923,39.64855
-106.57571,35.1842
-106.5349,35.11741
-106.53004,35.13007
-106.48149,31.76224
-106.46741,39.61972
-106.37783,39.643
-106.3737,39.6413
-106.37323,39.63988
-106.29131,39.2493
-106.16913,38.53497
-106.12961,38.84249
-106.06035,39.62758
-106.0534,39.51479
-106.05226,39.50965
-106.05124,35.59658
-106.05109,35.59616
-106.04651,39.48077
-106.04643,39.6281
-106.04641,39.48478
-106.02918,38.52202
-106.02061,38.54896
-105.99606,35.65551
-105.99053,38.53599
-105.96505,35.66508
-105.94495,35.68205
-105.94392,35.68939
-105.94122,35.6741
-105.94035,35.68739
-105.88,35.48085
-105.78402,39.918
-105.69736,39.70578
-105.6757,33.33265
-105.67225,33.33183
-105.67222,33.33181
-105.52613,40.37149
-105.2793,40.06303
-105.27907,40.06287
-105.27522,40.01901
-105.24369,40.02627
-105.2428,40.02583
-105.24144,40.0258
-105.23776,40.02375
-105.23763,40.02325
-105.2351,39.7687
-105.22863,40.01851
-105.22581,40.01622
-105.22275,38.44724
-105.21976,39.75646
-105.21485,40.0648
-105.2059,40.06013
-105.20522,39.70325
-105.20247,40.07392
-105.19701,39.723
-105.1945,38.41725
-105.18,39.73466
-105.16842,40.09986
-105.16361,39.95615
-105.15505,38.9444
-105.14429,39.7463
-105.132,39.97822
-105.13156,40.01295
-105.13106,39.57517
-105.12854,39.97612
-105.12288,40.13919
-105.12204,40.13908
-105.11844,38.38858
-105.1158,40.15857
-105.11538,40.57277
-105.1145,40.4079
-105.11029,39.7552
-105.10921,40.15423
-105.10841,40.40826
-105.10763,40.15801
-105.10461,40.16558
-105.10459,40.16517
-105.10357,39.99975
-105.09931,39.6091
-105.09863,39.90649
-105.09021,39.99089
-105.08788,39.99836
-105.08305,39.89317
-105.08281,39.89328
-105.0818,39.77573
-105.08019,40.53135
-105.0793,40.54978
-105.07889,40.30505
-105.07746,40.58439
-105.07742,40.39538
-105.07695,39.90928
-105.07643,40.58896
-105.07548,40.53973
-105.07539,40.4076
-105.07526,40.39666
-105.07511,40.39665
-105.07456,40.58899
-105.07279,40.5906
-105.07264,40.59013
-105.07126,40.3973
-105.06522,39.85864
-105.06416,40.40455
-105.0598,40.55179
-105.05606,40.04592
-105.04775,40.04911
-105.04506,39.75823
-105.04489,39.76961
-105.04422,40.58012
-105.04382,39.77606
-105.04354,39.77885
-105.03493,39.74002
-105.03485,39.7631
-105.03459,39.62297
-105.03401,39.549
-105.02464,39.5938
-105.02452,39.61257
-105.02436,39.74741
-105.02112,40.52257
-105.02036,39.75105
-105.01964,39.61306
-105.01948,39.71901
-105.01843,39.81238
-105.01806,39.72084
-105.01655,39.72343
-105.01521,39.73724
-105.01491,39.93059
-105.01347,39.7324
-105.01104,39.76731
-105.01047,39.65287
-105.00753,39.75801
-105.00732,39.75827
-105.0045,39.78061
-105.0038,39.6491
-105.00321,39.77033
-105.00207,39.7702
-105.00083,39.77694
-105.00061,39.72369
-105.00055,39.72347
-104.99939,39.73063
-104.99904,39.77318
-104.9989,39.71802
-104.99421,39.75336
-104.99147,39.75225
-104.98778,39.68868
-104.98765,39.73461
-104.98735,39.71218
-104.98723,39.6934
-104.9872,39.69336
-104.98702,39.72143
-104.98579,39.72932
-104.98467,39.72745
-104.98402,39.76285
-104.98341,39.75352
-104.98251,39.76053
-104.98199,40.43716
-104.98171,40.52898
-104.9812,39.76159
-104.98042,39.73987
-104.98012,39.76488
-104.97988,39.7702
-104.97964,39.76844
-104.97961,39.76842
-104.97848,39.77288
-104.97715,39.82936
-104.97712,39.76735
-104.97704,39.75522
-104.97672,39.81224
-104.97639,39.8081
-104.97505,39.74029
-104.97371,39.76702
-104.97061,39.74305
-104.97046,39.34806
-104.96819,39.74306
-104.96335,39.8988
-104.96274,39.74341
-104.95996,39.73966
-104.95779,39.76983
-104.95774,39.76989
-104.94548,39.73975
-104.93971,39.56683
-104.93596,40.48015
-104.93123,39.77395
-104.90594,39.76959
-104.90095,39.42688
-104.89298,39.56247
-104.87696,39.59467
-104.86884,39.09273
-104.86438,38.84731
-104.86022,38.8459
-104.86015,39.09546
-104.85789,38.84211
-104.85115,38.81616
-104.83742,38.83303
-104.82738,38.81115
-104.82373,38.82601
-104.82253,38.87158
-104.81884,38.83251
-104.81555,38.7753
-104.81003,39.5822
-104.80976,38.86325
-104.78234,38.90884
-104.78101,37.62464
-104.77596,39.19492
-104.77503,39.5222
-104.77297,39.54489
-104.77025,39.52702
-104.76331,39.51722
-104.75969,38.98397
-104.75565,38.87989
-104.7417,38.83737
-104.73765,38.8465
-104.71817,38.85497
-104.71645,38.84127
-104.71352,38.8896
-104.71154,40.52784
