lon,lat
-124.54827,42.832
-124.54821,42.83284
-124.50056,42.74569
-124.46904,42.87776
-124.43791,42.68994
-124.41644,43.06748
-124.41037,43.14724
-124.40356,42.42757
-124.4032,42.42749
-124.3379,42.47438
-124.33196,40.23997
-124.31897,42.48199
-124.31143,42.71244
-124.31136,42.0692
-124.31002,40.22918
-124.30945,40.21932
-124.28222,40.20073
-124.27145,42.72529
-124.26802,42.05968
-124.26567,40.58648
-124.26394,40.18948
-124.26334,42.05419
-124.25832,40.18637
-124.25733,40.19452
-124.25563,40.18407
-124.23399,42.49831
-124.22972,40.2679
-124.22949,40.172
-124.22833,42.38917
-124.22547,40.64398
-124.22024,42.01845
-124.21505,42.68672
-124.21297,40.77261
-124.21079,40.15723
-124.20697,40.15914
-124.20534,42.00827
-124.20458,42.69782
-124.20245,41.96354
-124.20036,41.94603
-124.1758,42.36476
-124.17491,40.12803
-124.16083,41.13928
-124.16049,41.13831
-124.15976,41.13869
-124.1562,40.17309
-124.15546,40.17141
-124.15534,40.14543
-124.15508,40.15881
-124.14486,40.11788
-124.14389,41.07244
-124.14004,41.70032
-124.13021,40.15906
-124.12934,40.77972
-124.12153,41.85336
-124.121,40.10879
-124.11891,40.16015
-124.10662,41.62536
-124.10539,40.09818
-124.10177,40.09444
-124.09617,41.23765
-124.08672,42.43244
-124.08509,40.07618
-124.08103,40.06836
-124.07827,41.52506
-124.07472,41.57613
-124.06992,41.38193
-124.06945,41.3843
-124.05981,42.70791
-124.0584,42.55669
-124.05687,40.45566
-124.05621,41.29269
-124.0552,42.73518
-124.05481,40.4548
-124.05185,41.53069
-124.05066,42.63468
-124.0462,41.76991
-124.04216,42.72232
-124.03945,42.51682
-124.03861,41.51607
-124.0299,41.35794
-124.0292,41.35992
-124.02396,40.34473
-124.02268,40.35043
-124.0125,40.31045
-124.01206,40.3178
-124.01152,41.21678
-124.01081,40.00103
-124.00848,40.2882
-124.00649,40.02181
-124.00345,40.01924
-123.99255,43.01791
-123.98002,40.32747
-123.97856,40.48769
-123.97498,40.30928
-123.96997,39.95129
-123.96317,40.41698
-123.9528,42.77405
-123.94809,39.95716
-123.94437,42.68084
-123.94298,39.9195
-123.94057,39.91806
-123.93872,39.91422
-123.91861,42.70399
-123.91513,40.34175
-123.91142,39.88503
-123.90369,40.4859
-123.89981,39.86125
-123.89753,39.86247
-123.88935,42.80787
-123.88612,39.85313
-123.8857,39.85433
-123.88238,42.71614
-123.87897,42.72132
-123.84712,41.65112
-123.84384,39.83693
-123.84121,41.04646
-123.83331,41.01906
-123.83001,42.7109
-123.82942,42.7099
-123.82933,41.02887
-123.82885,41.04808
-123.82779,42.62567
-123.82505,41.01395
-123.82299,41.01365
-123.81862,41.64894
-123.81375,41.00961
-123.81334,39.37389
-123.8132,41.00799
-123.81221,41.00351
-123.81207,41.59421
-123.81012,41.64307
-123.80461,40.99314
-123.80435,42.37775
-123.80004,39.33045
-123.79928,41.01964
-123.79712,40.99986
-123.7971,41.015
-123.79651,41.00806
-123.79521,40.02109
-123.79362,40.02142
-123.79317,40.02272
-123.79189,40.99151
-123.79169,41.0339
-123.79064,40.99654
-123.79053,39.66807
-123.7901,42.70952
-123.78677,41.02271
-123.78509,41.00592
-123.78492,41.00098
-123.78469,39.27638
-123.78275,41.02539
-123.78236,42.34992
-123.78205,39.64923
-123.77984,41.00247
-123.76773,39.92006
-123.7665,39.22645
-123.76505,42.96907
-123.76033,42.29884
-123.75804,39.33478
-123.75486,42.29539
-123.74983,42.68906
-123.73851,42.29485
-123.73071,42.29723
-123.7249,39.87713
-123.71318,40.69339
-123.71224,39.40499
-123.70902,39.40487
-123.70767,41.61134
