lon,lat
-124.21882,43.3945
-124.1288,41.05351
-123.99969,40.88554
-123.69123,38.93741
-123.68693,41.0626
-123.28329,42.93916
-123.16033,47.33755
-123.09704,44.09244
-123.05803,38.98241
-123.05763,38.98275
-123.05618,49.10915
-123.0402,49.28554
-122.88898,39.02127
-122.58015,45.49903
-122.578,45.55304
-122.55985,45.51812
-122.4831,47.16489
-122.45261,37.67986
-122.41871,45.54238
-122.41561,45.50575
-122.41105,45.52847
-122.40841,45.49556
-122.33648,47.46133
-122.32847,47.79922
-122.32144,47.79887
-122.24618,47.49678
-122.24533,47.4602
-122.24529,47.49629
-122.22662,47.41149
-122.18661,48.15289
-122.17315,47.73185
-121.83989,39.72874
-121.82286,37.70188
-121.31251,38.70638
-121.29721,38.59235
-120.58302,47.00833
-120.52385,41.478
-120.47615,46.58453
-119.94054,38.96088
-119.81379,39.52772
-119.76788,39.1325
-119.76776,39.13231
-119.76757,39.13218
-119.76736,39.16119
-119.76729,39.1584
-119.76668,39.16695
-119.76613,39.15641
-119.76541,36.23737
-119.76387,39.17072
-119.75617,39.18904
-119.74302,39.17443
-119.60369,49.49389
-119.27774,47.14513
-119.26652,39.61794
-118.78767,39.47441
-118.67951,45.6474
-118.63172,38.53585
-118.1665,34.82228
-118.14493,33.9983
-118.08063,33.8323
-117.74729,40.9585
-117.73066,40.9765
-117.39301,47.73635
-117.23099,38.0687
-117.02537,32.53694
-117.0184,32.52684
-116.992,32.5084
-116.96701,32.49839
-116.93445,40.64181
-116.93355,32.49331
-116.91518,40.61956
-116.64498,32.55316
-115.95846,36.13265
-115.82015,40.81092
-115.79367,40.8369
-115.78647,40.83445
-115.74895,40.85292
-115.5618,48.39205
-115.5534,48.38775
-115.49508,32.66393
-115.47697,32.65508
-115.47058,32.63881
-115.45234,32.66091
-115.44798,32.63708
-115.27992,36.07868
-115.20765,36.14648
-115.20691,35.99535
-115.20463,36.14495
-115.18829,36.14568
-115.17572,36.10465
-115.1749,36.11793
