lon,lat
-118.90731,36.79172
-118.90336,36.78924
-118.60797,34.50069
-118.40667,33.74128
-118.0603,33.71115
-117.65348,34.23872
-117.33926,33.14297
-117.00069,34.23202
-114.07844,36.79703
-114.07819,36.79761
-114.07818,36.79713
-112.68477,26.32456
-112.40374,42.82226
-112.40287,42.8212
-112.40281,42.82214
-112.10226,33.59375
-112.08161,41.17094
-112.01131,38.17832
-111.94373,41.78174
-111.92315,40.65568
-111.91682,40.54687
-111.85197,41.70593
-111.85168,41.70524
-111.75715,41.74383
-111.74817,41.74625
-111.72079,41.75263
-111.71651,41.7535
-111.69669,41.76285
-111.58741,40.35047
-111.41317,40.07646
-111.26354,42.12834
-110.8901,40.45661
-110.86687,40.4517
-110.85378,40.45559
-110.84514,40.45997
-110.8332,40.46263
-110.83025,40.46097
-110.81813,40.44132
-110.81394,40.43901
-110.80615,34.29092
-110.80016,40.42395
-110.76826,40.4044
-109.92433,42.90853
-109.62798,40.11806
-109.00434,40.82913
-108.98506,40.8349
-108.85377,32.63355
-107.73618,38.22344
-107.71067,37.72738
-107.71018,37.72699
-107.53596,39.5829
-107.51027,39.56493
-106.74238,35.67107
-106.72414,35.71284
-106.491,31.33575
-106.32016,41.33755
-106.21455,40.06348
-106.16449,35.83467
-105.811,40.42056
-105.68741,35.70456
-105.68272,35.65498
-105.67979,35.81635
-105.67816,35.73577
-105.67121,35.76184
-105.66249,35.77181
-105.66024,35.77989
-105.65926,35.81115
-105.57665,39.76132
-105.56645,39.75688
-105.51604,39.74056
-105.50288,39.96099
-105.47524,39.74307
-105.47317,39.40462
-105.43078,39.74195
-105.42961,46.73966
-105.42849,46.73793
-105.4184,39.73664
-105.41714,39.73723
-105.40425,39.74433
-105.4015,39.74352
-105.40148,39.74306
-105.1262,39.8731
-105.09607,40.60341
-105.04279,39.54706
-105.04234,39.54656
-104.86462,39.64543
-104.85392,39.65081
-104.85303,39.6507
-104.85262,39.65065
-104.85204,39.65046
-104.85168,39.65052
-102.87645,36.85027
-102.87422,36.84689
-101.82142,37.13616
-101.528,48.01095
-100.7765,37.13157
-100.58816,46.56994
-99.32109,34.65416
-99.32007,34.65445
-98.59431,36.08751
-98.58597,36.092
-98.57823,36.09622
-97.98925,46.93473
-97.95142,46.92061
-97.95105,46.92083
-97.60446,35.52457
-97.60444,35.52406
-97.60442,35.52422
-97.60442,35.52441
-97.59936,35.34034
-97.47692,42.8527
-97.46548,42.85272
-97.46149,42.85051
-97.364,32.72406
-97.32917,40.80348
-97.23309,33.00232
-96.97892,34.4192
-96.97802,34.41844
-96.92267,33.08156
-96.87342,33.11559
-96.81231,32.86938
-96.80945,33.78675
-96.80877,33.78668
-96.77213,46.87796
-96.77163,46.88044
-96.75425,40.26661
-96.75417,40.26584
-96.75268,33.09707
-96.73034,32.86004
-96.68953,45.05434
-96.66944,40.74034
-96.6687,40.73939
-96.64619,45.22729
-96.64491,45.22711
-96.6441,45.2295
-96.60453,33.81933
-96.52872,43.68198
-96.52835,43.67914
-96.48933,45.33745
-96.46415,32.88168
-96.45251,45.30258
-96.45203,45.30282
-96.45201,45.3034
-96.45155,45.30859
-96.45126,45.3088
-96.44859,45.29678
-96.40699,35.8309
-96.38878,45.25581
-96.21997,41.26892
-96.18636,41.37753
-96.17036,41.00348
-96.16834,41.0042
-96.16585,41.00617
-96.16572,41.00448
-96.1637,41.00552
-96.14485,40.86899
-96.1165,45.32826
-96.11329,47.66409
-96.11182,47.66443
-96.11175,41.16011
-96.08013,41.1588
-96.07966,41.15805
-96.06749,41.14032
-96.03649,41.12569
-96.03261,41.15381
-96.02797,41.13106
-96.02613,41.12763
-95.94066,41.22087
-95.94051,41.22044
-95.81464,39.63955
-95.80016,35.89609
-95.79512,35.89368
-95.70739,38.518
-95.70399,38.51516
-95.70363,38.51985
-95.69958,38.51703
-95.66919,42.98424
-95.64056,37.05227
-95.59001,41.85151
-95.58894,41.85098
-95.52794,41.00208
-95.39032,38.93864
-95.36972,38.90477
-95.18743,43.15434
-95.18528,32.72536
-95.06894,37.79364
-95.00767,35.43451
-94.97328,35.4331
-94.83349,39.78239
-94.83239,39.78332
-94.51682,35.44648
-94.36305,36.87241
-94.35807,36.86946
-94.10242,36.33548
-94.10145,36.33649
-94.10002,36.33626
-94.09984,36.33626
-94.09904,36.33697
-94.09853,36.33935
-94.09756,36.33807
-93.81776,37.10986
-93.81774,37.10966
-93.8177,37.10948
-93.8175,37.10991
-93.81746,37.10949
-93.81715,37.11008
-93.81714,37.10969
-93.81675,37.10979
-93.8167,37.11027
-93.81633,37.10982
-93.8162,37.11046
-93.81598,37.10998
-93.81566,37.11019
-93.81565,37.11064
-93.81547,37.11034
-93.81535,37.11066
-93.81511,37.11056
-93.79896,42.43283
-93.73709,41.66522
-93.70564,41.66096
-93.69383,42.79028
-93.61914,41.59147
-93.59748,42.03714
-93.59607,42.08653
-93.59492,42.08539
-93.43911,42.6953
-93.43841,42.69604
-93.43836,42.69734
-93.4378,42.69701
-93.41858,42.7308
-93.4185,42.72858
-93.41715,42.72838
-93.24128,42.76857
-93.24072,42.7684
-92.92088,35.13012
-92.72659,42.12776
-92.72649,42.12959
-92.39818,34.57579
-92.35734,34.79386
-92.35489,34.79371
-92.31622,42.26657
-92.31288,42.26608
-92.311,42.266
-92.24205,36.2487
-92.235,42.82885
-92.23355,42.82941
-92.23292,42.8281
-92.2328,42.82745
-92.23186,42.82808
-92.23163,42.82709
-92.23152,42.82773
-92.22258,42.80776
-92.22132,42.80706
-92.21938,42.8078
-92.01574,34.23455
-91.99617,35.51152
-91.99603,35.51119
-91.99578,35.51096
-91.91011,42.60591
-91.91006,42.60557
-91.90977,42.60528
-91.83574,39.51926
-91.83539,39.51849
-91.83446,39.51744
-91.83408,39.51742
-91.83381,39.5198
-91.83267,39.52083
-91.83209,39.52103
-91.83139,39.5193
-91.8308,39.52236
-91.8305,39.52163
-91.83013,39.5234
-91.82985,39.52388
-91.82957,39.52254
-91.82921,39.52398
-91.8271,39.45818
-91.82691,39.45577
-91.82536,39.45287
-91.82495,39.45546
-91.82326,39.45434
-91.82314,39.45312
-91.81818,39.45125
-91.81765,39.44922
-91.81228,39.49911
-91.81161,39.49974
-91.81077,39.50001
-91.80984,39.49406
-91.80829,39.49407
-91.80705,39.49565
-91.80646,39.49374
-91.80644,39.49529
-91.80624,39.49588
-91.78357,39.5144
-91.78332,39.51398
-91.78274,39.5138
-91.77878,39.5152
-91.77847,39.51565
-91.77703,39.51584
-91.74379,39.51488
-91.74376,39.52763
-91.74355,39.51488
-91.74331,39.51585
-91.74328,39.52778
-91.74301,39.52798
