lon,lat
-124.78455,49.289
-124.77895,49.2903
-124.77447,49.26859
-124.42506,43.09291
-124.39403,43.17885
-124.39091,43.19864
-124.3905,43.21765
-124.39016,43.18808
-124.38566,43.17828
-124.38359,43.19644
-124.37158,42.54508
-124.36716,43.32254
-124.21059,42.05381
-124.19923,43.2912
-124.19534,48.82442
-124.16872,40.75864
-124.13111,43.05426
-124.13014,43.69933
-124.11083,44.002
-124.10601,40.56148
-124.09926,41.83445
-124.09336,40.96018
-124.08663,43.99165
-124.0693,40.02502
-124.06757,44.41145
-124.05327,44.66676
-124.05317,46.53082
-124.05083,46.37461
-124.04941,46.52788
-124.04908,40.84601
-124.02734,44.88686
-123.98823,49.19375
-123.98656,49.20092
-123.97903,45.10883
-123.97785,49.17565
-123.93228,45.97561
-123.92563,46.04095
-123.92544,46.105
-123.92466,46.04432
-123.92045,46.03272
-123.90312,49.04088
-123.86638,49.0548
-123.85921,45.51095
-123.84193,45.47986
-123.83621,46.14906
-123.83125,49.15394
-123.78478,40.06834
-123.78415,39.27198
-123.76724,46.94707
-123.7478,48.80976
-123.7274,46.96425
-123.72673,46.65375
-123.71385,48.38738
-123.7128,48.91085
-123.65052,42.17751
-123.64152,48.64964
-123.62729,40.95352
-123.5293,48.38912
-123.52517,48.86839
-123.52208,48.39951
-123.51832,48.39355
-123.4621,48.63526
-123.45974,48.44733
-123.4555,47.00137
-123.40334,43.26859
-123.38755,39.44049
-123.37695,48.53063
-123.37269,48.53529
-123.37148,43.22207
-123.37103,43.22174
-123.36836,42.55144
-123.36009,46.19878
-123.35021,48.48173
-123.34669,48.89406
-123.34622,42.39346
-123.34557,48.45484
-123.34381,43.39187
-123.31816,48.83399
-123.31258,48.45658
-123.3115,48.80534
-123.30942,48.45069
-123.30794,44.97817
-123.30008,44.2725
-123.29537,44.54293
-123.27377,44.91986
-123.26734,43.01404
-123.24477,44.57169
-123.24015,45.84685
-123.22854,44.58981
-123.21463,45.22026
-123.2044,44.14115
-123.1949,49.22364
-123.19155,49.16068
-123.18503,49.22435
-123.18062,44.1729
-123.17763,48.12013
-123.17563,49.14669
-123.16844,49.21987
-123.16324,48.11238
-123.16172,44.9376
-123.15975,48.10946
-123.15971,49.21701
-123.15951,49.21733
-123.14559,49.29402
-123.12489,49.1289
-123.11127,49.22091
-123.1093,49.23891
-123.10898,47.11957
-123.10521,44.6644
-123.10461,44.91001
-123.10211,44.06903
-123.1021,44.64349
-123.10096,45.56503
-123.08739,44.06653
-123.08359,49.14253
-123.07212,44.91613
-123.06717,44.02606
-123.06685,49.17941
-123.06399,49.02832
-123.06335,49.15092
-123.06328,43.80562
-123.0632,49.16074
-123.06117,49.02096
-123.05119,49.20848
-123.0487,49.21274
-123.04711,45.48025
-123.0313,49.27164
-123.02823,48.50089
-123.02343,46.78844
-123.02133,38.31324
-123.0195,45.52979
-123.01855,49.06396
-123.01848,47.08402
-123.0157,49.22345
-123.0072,45.5255
-123.00164,45.61615
-122.99663,49.20216
-122.99425,38.47854
-122.99407,43.9232
-122.99036,46.67439
-122.99026,43.99264
-122.98125,46.16621
-122.9783,49.27719
-122.95721,46.16339
-122.94531,45.48258
-122.94233,49.26525
-122.94077,47.08153
-122.93332,46.91298
-122.93061,49.11832
-122.92998,40.71779
-122.92362,45.55985
-122.9221,45.48587
-122.91458,46.97179
-122.90811,46.12048
-122.90214,45.1584
-122.89612,47.00327
-122.894,49.09785
-122.8898,46.60888
-122.88116,45.55404
-122.87897,45.67807
-122.87812,49.25271
-122.87052,49.2316
-122.86888,49.23141
-122.8654,42.30888
-122.85591,38.61608
-122.84725,42.30598
-122.84474,38.43533
-122.84352,48.06028
-122.84321,42.30925
-122.84286,42.44115
-122.8335,45.54741
-122.83256,49.07056
-122.82456,42.30263
-122.8227,45.06282
-122.81839,44.82517
-122.81535,49.09908
-122.81005,38.52909
-122.80557,38.43317
-122.8004,44.51612
-122.78445,42.42115
-122.78237,48.93972
-122.7805,48.96248
-122.77527,45.45895
-122.77489,48.11774
-122.77264,46.98332
-122.77196,45.39217
-122.77186,45.27493
-122.76654,45.2749
-122.76096,45.47518
-122.75598,39.00161
-122.75589,49.02148
-122.75388,49.01055
-122.75249,47.51693
-122.7474,49.14057
-122.73376,38.5292
-122.72512,38.8495
-122.72055,44.08781
-122.71888,49.01229
-122.71845,38.82243
-122.71579,38.49121
-122.71509,48.95674
-122.70316,45.60436
