lon,lat
-124.81139,49.23538
-124.78774,49.26496
-124.39219,43.11795
-124.3869,47.94178
-124.26142,40.57748
-124.23367,43.40508
-124.22455,43.41083
-124.21513,43.3764
-124.20212,47.20898
-124.19219,40.76902
-124.17647,43.57798
-124.16518,40.78316
-124.16179,47.00491
-124.15722,47.04469
-124.15178,40.5799
-124.0912,46.8
-124.07119,40.858
-124.05238,46.34789
-124.05158,44.65348
-124.05103,48.82687
-124.02973,49.21916
-124.02806,49.21207
-124.00951,44.98065
-124.004,49.20846
-123.98359,49.19398
-123.9775,49.19367
-123.97725,49.19406
-123.97705,49.19306
-123.97638,49.19355
-123.97635,49.19314
-123.96823,49.19172
-123.96169,45.88905
-123.94593,44.62447
-123.92834,45.71918
-123.92239,45.98607
-123.92094,45.94234
-123.91868,46.14191
-123.91106,46.0186
-123.91083,46.0211
-123.9106,46.01563
-123.88661,46.97727
-123.86848,49.11184
-123.8611,46.97189
-123.85993,46.18515
-123.8455,45.48365
-123.84509,45.45959
-123.84053,46.97494
-123.83782,46.96756
-123.81809,46.18974
-123.79813,39.30748
-123.79801,46.19411
-123.79595,40.09932
-123.77989,46.96196
-123.7716,46.36433
-123.76931,39.223
-123.76859,46.95277
-123.75439,46.68305
-123.73121,46.68439
-123.72432,48.37636
-123.7193,48.37833
-123.71537,48.91744
-123.69425,48.7597
-123.69258,48.75956
-123.69248,48.75956
-123.68724,38.97013
-123.64655,42.17033
-123.59295,48.6957
-123.57834,46.16736
-123.55785,48.65157
-123.54255,48.45295
-123.53425,38.77201
-123.51677,48.85393
-123.50881,48.44256
-123.50544,48.44585
-123.50522,48.44589
-123.49819,48.85352
-123.48216,39.68753
-123.46944,48.44619
-123.44797,46.99625
-123.44359,46.99705
-123.40541,47.00341
-123.40143,48.64906
-123.39948,48.10567
-123.38947,47.00607
-123.3879,48.48032
-123.38359,46.20323
-123.38276,48.43317
-123.3676,44.54087
-123.36623,42.41927
-123.36561,48.43903
-123.36289,48.10744
-123.35343,48.42912
-123.35185,39.40636
-123.35148,44.54071
-123.34945,43.22499
-123.34328,48.88989
-123.33822,48.41294
-123.32693,42.43903
-123.3268,44.54676
-123.29811,43.4221
-123.29735,46.57025
-123.29349,48.80702
-123.2814,48.77852
-123.275,44.58759
-123.26726,48.84439
-123.26608,44.55798
-123.26178,44.56102
-123.24005,48.09008
-123.21767,48.0862
-123.2116,39.17458
-123.20782,46.1056
-123.20181,44.2197
-123.1969,48.08244
-123.19634,39.13031
-123.19388,45.224
-123.18875,39.78005
-123.18629,45.22649
-123.17492,48.08023
-123.16743,42.4334
-123.16574,48.0788
-123.1655,44.05187
-123.16326,44.04765
-123.16107,44.10051
-123.1508,44.05674
-123.14557,49.20539
-123.14466,49.20495
-123.14303,47.40648
-123.14265,49.26724
-123.13433,49.29032
-123.13049,49.28009
-123.12564,44.05285
-123.12059,44.05546
-123.1143,49.26429
-123.11326,49.28348
-123.11178,49.26497
-123.10986,49.28051
-123.1084,48.07892
-123.10397,49.26436
-123.10042,44.63827
-123.10025,49.2056
-123.10005,49.19172
-123.09936,49.1926
-123.09911,47.21487
-123.09741,49.19169
-123.09681,49.19169
-123.09429,47.1583
-123.09403,49.27205
-123.09114,49.19353
-123.09106,49.19315
-123.09041,44.02791
-123.09023,49.25302
-123.08818,49.19362
-123.08805,49.20413
-123.08613,38.53443
-123.08366,49.19223
-123.08366,49.19228
-123.08366,49.19243
-123.08337,49.19255
-123.08263,49.18777
-123.08253,49.09083
-123.08034,49.20989
-123.07929,49.25151
