league,team,lon,lat
nfl,Arizona Cardinals,-112.2626,33.5276
nfl,Atlanta Falcons,-84.4008,33.7554
nfl,Baltimore Ravens,-76.6227,39.278
nfl,Buffalo Bills,-78.787,42.7738
nfl,Carolina Panthers,-80.8528,35.2258
nfl,Chicago Bears,-87.6167,41.8623
nfl,Cincinnati Bengals,-84.516,39.0955
nfl,Cleveland Browns,-81.6995,41.5061
nfl,Dallas Cowboys,-97.0945,32.7473
nfl,Denver Broncos,-105.0201,39.7439
nfl,Detroit Lions,-83.0456,42.34
nfl,Green Bay Packers,-88.0622,44.5013
nfl,Houston Texans,-95.4107,29.6847
nfl,Indianapolis Colts,-86.1639,39.7601
nfl,Jacksonville Jaguars,-81.6373,30.3239
nfl,Kansas City Chiefs,-94.4839,39.0489
nfl,Las Vegas Raiders,-115.1833,36.0909
nfl,Los Angeles Chargers,-118.3392,33.9535
nfl,Los Angeles Rams,-118.3392,33.9535
nfl,Miami Dolphins,-80.2389,25.958
nfl,Minnesota Vikings,-93.2577,44.9737
nfl,New England Patriots,-71.2643,42.0909
nfl,New Orleans Saints,-90.0812,29.9511
nfl,New York Giants,-74.0745,40.8135
nfl,New York Jets,-74.0745,40.8135
nfl,Philadelphia Eagles,-75.1675,39.9008
nfl,Pittsburgh Steelers,-80.0158,40.4468
nfl,San Francisco 49ers,-121.97,37.403
nfl,Seattle Seahawks,-122.3316,47.5952
nfl,Tampa Bay Buccaneers,-82.5033,27.9759
nfl,Tennessee Titans,-86.7713,36.1665
nfl,Washington Commanders,-76.8645,38.9078
nba,Atlanta Hawks,-84.3963,33.7573
nba,Boston Celtics,-71.0621,42.3662
nba,Brooklyn Nets,-73.9754,40.6826
nba,Charlotte Hornets,-80.8392,35.2251
nba,Chicago Bulls,-87.6742,41.8807
nba,Cleveland Cavaliers,-81.6882,41.4965
nba,Dallas Mavericks,-96.8103,32.7905
nba,Denver Nuggets,-105.0077,39.7487
nba,Detroit Pistons,-83.0553,42.3411
nba,Golden State Warriors,-122.3877,37.768
nba,Houston Rockets,-95.3621,29.7508
nba,Indiana Pacers,-86.1555,39.764
nba,LA Clippers,-118.3417,33.9456
nba,Los Angeles Lakers,-118.2673,34.043
nba,Memphis Grizzlies,-90.0505,35.1382
nba,Miami Heat,-80.187,25.7814
nba,Milwaukee Bucks,-87.9172,43.0451
nba,Minnesota Timberwolves,-93.276,44.9795
nba,New Orleans Pelicans,-90.0821,29.949
nba,New York Knicks,-73.9934,40.7505
nba,Oklahoma City Thunder,-97.5151,35.4634
nba,Orlando Magic,-81.3839,28.5392
nba,Philadelphia 76ers,-75.172,39.9012
nba,Phoenix Suns,-112.0712,33.4457
nba,Portland Trail Blazers,-122.6668,45.5316
nba,Sacramento Kings,-121.4997,38.5802
nba,San Antonio Spurs,-98.4375,29.427
nba,Toronto Raptors,-79.3791,43.6435
nba,Utah Jazz,-111.9011,40.7683
nba,Washington Wizards,-77.0209,38.8981
mlb,Arizona Diamondbacks,-112.0667,33.4455
mlb,Atlanta Braves,-84.4678,33.8908
mlb,Baltimore Orioles,-76.6217,39.2838
mlb,Boston Red Sox,-71.0972,42.3467
mlb,Chicago Cubs,-87.6553,41.9484
mlb,Chicago White Sox,-87.6338,41.8299
mlb,Cincinnati Reds,-84.5066,39.0979
mlb,Cleveland Guardians,-81.6852,41.4962
mlb,Colorado Rockies,-104.9942,39.7559
mlb,Detroit Tigers,-83.0485,42.339
mlb,Houston Astros,-95.3555,29.7573
mlb,Kansas City Royals,-94.4803,39.0517
mlb,Los Angeles Angels,-117.8827,33.8003
mlb,Los Angeles Dodgers,-118.24,34.0739
mlb,Miami Marlins,-80.2196,25.7781
mlb,Milwaukee Brewers,-87.9712,43.028
mlb,Minnesota Twins,-93.2776,44.9817
mlb,New York Mets,-73.8458,40.7571
mlb,New York Yankees,-73.9262,40.8296
mlb,Athletics,-121.5309,38.5799
mlb,Philadelphia Phillies,-75.1665,39.9061
mlb,Pittsburgh Pirates,-80.0057,40.4469
mlb,San Diego Padres,-117.1566,32.7073
mlb,San Francisco Giants,-122.3893,37.7786
mlb,Seattle Mariners,-122.3325,47.5914
mlb,St. Louis Cardinals,-90.1928,38.6226
mlb,Tampa Bay Rays,-82.5066,27.9803
mlb,Texas Rangers,-97.0842,32.7473
mlb,Toronto Blue Jays,-79.3894,43.6414
mlb,Washington Nationals,-77.0074,38.873
nhl,Anaheim Ducks,-117.8765,33.8078
nhl,Boston Bruins,-71.0621,42.3662
nhl,Buffalo Sabres,-78.8764,42.875
nhl,Calgary Flames,-114.0519,51.0374
nhl,Carolina Hurricanes,-78.722,35.8033
nhl,Chicago Blackhawks,-87.6742,41.8807
nhl,Colorado Avalanche,-105.0077,39.7487
nhl,Columbus Blue Jackets,-83.0061,39.9692
nhl,Dallas Stars,-96.8103,32.7905
nhl,Detroit Red Wings,-83.0553,42.3411
nhl,Edmonton Oilers,-113.4977,53.5469
nhl,Florida Panthers,-80.3255,26.1584
nhl,Los Angeles Kings,-118.2673,34.043
nhl,Minnesota Wild,-93.1011,44.9447
nhl,Montreal Canadiens,-73.5693,45.4961
nhl,Nashville Predators,-86.7787,36.1593
nhl,New Jersey Devils,-74.171,40.7336
nhl,New York Islanders,-73.5911,40.7229
nhl,New York Rangers,-73.9934,40.7505
nhl,Ottawa Senators,-75.927,45.2969
nhl,Philadelphia Flyers,-75.172,39.9012
nhl,Pittsburgh Penguins,-79.9892,40.4395
nhl,San Jose Sharks,-121.9007,37.3327
nhl,Seattle Kraken,-122.354,47.6221
nhl,St. Louis Blues,-90.2026,38.6266
nhl,Tampa Bay Lightning,-82.4518,27.9427
nhl,Toronto Maple Leafs,-79.3791,43.6435
nhl,Utah Mammoth,-111.9011,40.7683
nhl,Vancouver Canucks,-123.1088,49.2778
nhl,Vegas Golden Knights,-115.1785,36.1028
nhl,Washington Capitals,-77.0209,38.8981
nhl,Winnipeg Jets,-97.1436,49.8928
